
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
12.400000	6378965.743685	0.423231	-0.007854	193.085836	0.916377	4.712390	2699367.027714	-50092.694618	965.743685
12.500000	6378981.063141	0.423229	-0.007854	194.797283	0.913430	4.712390	2699355.276018	-50092.694608	981.063141
12.600000	6378996.483373	0.423227	-0.007854	196.512093	0.910497	4.712390	2699343.374696	-50092.694599	996.483373
12.700000	6379012.004072	0.423225	-0.007854	198.230260	0.907580	4.712390	2699331.323079	-50092.694589	1012.004072
12.800000	6379027.624933	0.423223	-0.007854	199.951781	0.904676	4.712390	2699319.120497	-50092.694579	1027.624933
12.900000	6379043.345647	0.423222	-0.007854	201.676652	0.901788	4.712390	2699306.766286	-50092.694569	1043.345647
13.000000	6379059.165907	0.423220	-0.007854	203.404867	0.898913	4.712390	2699294.259785	-50092.694558	1059.165907
13.100000	6379075.085405	0.423218	-0.007854	205.136424	0.896053	4.712390	2699281.600337	-50092.694547	1075.085405
13.200000	6379091.103834	0.423216	-0.007854	206.871316	0.893206	4.712390	2699268.787287	-50092.694536	1091.103834
13.300000	6379107.220886	0.423214	-0.007854	208.609541	0.890374	4.712390	2699255.819986	-50092.694524	1107.220886
13.400000	6379123.436253	0.423211	-0.007854	210.351094	0.887555	4.712390	2699242.697786	-50092.694512	1123.436253
13.500000	6379139.749627	0.423209	-0.007854	212.095971	0.884751	4.712390	2699229.420045	-50092.694500	1139.749627
13.600000	6379156.160700	0.423207	-0.007854	213.844167	0.881959	4.712390	2699215.986122	-50092.694487	1156.160700
13.700000	6379172.669166	0.423205	-0.007854	215.595679	0.879182	4.712390	2699202.395379	-50092.694474	1172.669166
13.800000	6379189.274715	0.423203	-0.007854	217.350501	0.876417	4.712390	2699188.647185	-50092.694460	1189.274715
13.900000	6379205.977041	0.423201	-0.007854	219.108630	0.873666	4.712390	2699174.740909	-50092.694446	1205.977041
14.000000	6379222.775835	0.423199	-0.007854	220.870062	0.870929	4.712390	2699160.675923	-50092.694432	1222.775835
14.100000	6379239.670791	0.423196	-0.007854	222.634792	0.868204	4.712390	2699146.451605	-50092.694417	1239.670791
14.200000	6379256.661600	0.423194	-0.007854	224.402816	0.865492	4.712390	2699132.067335	-50092.694402	1256.661600
14.300000	6379273.747955	0.423192	-0.007854	226.174130	0.862794	4.712390	2699117.522494	-50092.694387	1273.747955
14.400000	6379290.929550	0.423190	-0.007854	227.948730	0.860108	4.712390	2699102.816470	-50092.694371	1290.929550
14.500000	6379308.206076	0.423187	-0.007854	229.726612	0.857434	4.712390	2699087.948651	-50092.694354	1308.206076
14.600000	6379325.577226	0.423185	-0.007854	231.507771	0.854774	4.712390	2699072.918431	-50092.694338	1325.577226
14.700000	6379343.042695	0.423182	-0.007854	233.292203	0.852126	4.712390	2699057.725203	-50092.694320	1343.042695
14.800000	6379360.602175	0.423180	-0.007854	235.079905	0.849490	4.712390	2699042.368367	-50092.694302	1360.602175
14.900000	6379378.255360	0.423178	-0.007854	236.870873	0.846867	4.712390	2699026.847325	-50092.694284	1378.255360
15.000000	6379396.001944	0.423175	-0.007854	238.665101	0.844256	4.712390	2699011.161481	-50092.694265	1396.001944
15.100000	6379413.841619	0.423173	-0.007854	240.462587	0.841658	4.712390	2698995.310242	-50092.694246	1413.841619
15.200000	6379431.774082	0.423170	-0.007854	242.262910	0.839071	4.712390	2698979.293019	-50092.694226	1431.774082
15.300000	6379449.798994	0.423168	-0.007854	244.064837	0.836496	4.712390	2698963.109253	-50092.694206	1449.798994
15.400000	6379467.915929	0.423165	-0.007854	245.868320	0.833934	4.712390	2698946.758472	-50092.694185	1467.915929
15.500000	6379486.124456	0.423162	-0.007854	247.673311	0.831383	4.712390	2698930.240207	-50092.694164	1486.124456
15.600000	6379504.424144	0.423160	-0.007854	249.479762	0.828844	4.712390	2698913.553999	-50092.694142	1504.424144
15.700000	6379522.814557	0.423157	-0.007854	251.287625	0.826316	4.712390	2698896.699393	-50092.694119	1522.814557
15.800000	6379541.295258	0.423155	-0.007854	253.096851	0.823800	4.712390	2698879.675942	-50092.694096	1541.295258
15.900000	6379559.865808	0.423152	-0.007854	254.907391	0.821295	4.712390	2698862.483206	-50092.694072	1559.865808
16.000000	6379578.525765	0.423149	-0.007854	256.719197	0.818802	4.712390	2698845.120749	-50092.694048	1578.525765
16.100000	6379597.274684	0.423146	-0.007854	258.532220	0.816320	4.712390	2698827.588143	-50092.694023	1597.274684
16.200000	6379616.112120	0.423144	-0.007854	260.346410	0.813849	4.712390	2698809.884966	-50092.693997	1616.112120
16.300000	6379635.037622	0.423141	-0.007854	262.161719	0.811389	4.712390	2698792.010803	-50092.693971	1635.037622
16.400000	6379654.050740	0.423138	-0.007854	263.978096	0.808939	4.712390	2698773.965247	-50092.693944	1654.050740
16.500000	6379673.151020	0.423135	-0.007854	265.795492	0.806501	4.712391	2698755.747893	-50092.693917	1673.151020
16.600000	6379692.338007	0.423132	-0.007854	267.613857	0.804074	4.712391	2698737.358347	-50092.693889	1692.338007
16.700000	6379711.611241	0.423129	-0.007854	269.433143	0.801657	4.712391	2698718.796219	-50092.693860	1711.611241
16.800000	6379730.970263	0.423126	-0.007854	271.253298	0.799250	4.712391	2698700.061126	-50092.693830	1730.970263
16.900000	6379750.414610	0.423123	-0.007854	273.074273	0.796854	4.712391	2698681.152693	-50092.693800	1750.414610
17.000000	6379769.943817	0.423120	-0.007854	274.896017	0.794469	4.712391	2698662.070549	-50092.693769	1769.943817
17.100000	6379789.557418	0.423117	-0.007854	276.718482	0.792094	4.712391	2698642.814330	-50092.693737	1789.557418
17.200000	6379809.254941	0.423114	-0.007854	278.541616	0.789729	4.712391	2698623.383680	-50092.693705	1809.254941
17.300000	6379829.035917	0.423111	-0.007854	280.365370	0.787374	4.712391	2698603.778249	-50092.693672	1829.035917
17.400000	6379848.899872	0.423108	-0.007854	282.189694	0.785029	4.712391	2698583.997693	-50092.693638	1848.899872
17.500000	6379868.846329	0.423105	-0.007854	284.014537	0.782694	4.712391	2698564.041673	-50092.693603	1868.846329
17.600000	6379888.874812	0.423102	-0.007854	285.839849	0.780369	4.712391	2698543.909859	-50092.693567	1888.874812
17.700000	6379908.984840	0.423099	-0.007854	287.665580	0.778054	4.712391	2698523.601927	-50092.693531	1908.984840
17.800000	6379929.175931	0.423096	-0.007854	289.491680	0.775748	4.712391	2698503.117558	-50092.693493	1929.175931
17.900000	6379949.447601	0.423092	-0.007854	291.318100	0.773452	4.712391	2698482.456440	-50092.693455	1949.447601
