
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
318.800000	6430026.006541	0.201701	0.017056	5264.506881	-0.047520	1.574822	1286448.978000	108783.168000	52026.006541
318.900000	6430000.999209	0.201783	0.017055	5264.518105	-0.047590	1.574824	1286971.974000	108776.790000	52000.999209
319.000000	6429975.954820	0.201865	0.017055	5264.529267	-0.047660	1.574825	1287494.970000	108776.790000	51975.954820
319.100000	6429950.873404	0.201947	0.017055	5264.540367	-0.047731	1.574827	1288017.966000	108776.790000	51950.873404
319.200000	6429925.754992	0.202028	0.017054	5264.551404	-0.047801	1.574828	1288534.584000	108770.412000	51925.754992
319.300000	6429900.599616	0.202110	0.017054	5264.562377	-0.047871	1.574830	1289057.580000	108770.412000	51900.599616
319.400000	6429875.407308	0.202192	0.017054	5264.573286	-0.047941	1.574832	1289580.576000	108770.412000	51875.407308
319.500000	6429850.178099	0.202274	0.017053	5264.584129	-0.048011	1.574833	1290103.572000	108764.034000	51850.178099
319.600000	6429824.912020	0.202356	0.017053	5264.594906	-0.048081	1.574835	1290626.568000	108764.034000	51824.912020
319.700000	6429799.609104	0.202437	0.017053	5264.605617	-0.048151	1.574837	1291143.186000	108764.034000	51799.609104
319.800000	6429774.269383	0.202519	0.017052	5264.616259	-0.048221	1.574838	1291666.182000	108757.656000	51774.269383
319.900000	6429748.892888	0.202601	0.017052	5264.626834	-0.048290	1.574840	1292189.178000	108757.656000	51748.892888
320.000000	6429723.479654	0.202683	0.017052	5264.637339	-0.048360	1.574842	1292712.174000	108757.656000	51723.479654
320.100000	6429698.029711	0.202764	0.017051	5264.647775	-0.048430	1.574843	1293228.792000	108751.278000	51698.029711
320.200000	6429672.543094	0.202846	0.017051	5264.658140	-0.048499	1.574845	1293751.788000	108751.278000	51672.543094
320.300000	6429647.019835	0.202928	0.017051	5264.668433	-0.048569	1.574847	1294274.784000	108751.278000	51647.019835
320.400000	6429621.459967	0.203010	0.017050	5264.678654	-0.048638	1.574848	1294797.780000	108744.900000	51621.459967
320.500000	6429595.863524	0.203092	0.017050	5264.688802	-0.048708	1.574850	1295320.776000	108744.900000	51595.863524
320.600000	6429570.230538	0.203173	0.017050	5264.698877	-0.048777	1.574852	1295837.394000	108744.900000	51570.230538
320.700000	6429544.561045	0.203255	0.017049	5264.708876	-0.048846	1.574853	1296360.390000	108738.522000	51544.561045
